type,obf_class,obf_name,searge_name,mcp_name,side,desc
package,,.,net/minecraft/src,net/minecraft/src,,
package,,net,net,net,,
package,,net/minecraft,net/minecraft,net/minecraft,,
package,,net/minecraft/client,net/minecraft/client,net/minecraft/client,,
package,,net/minecraft/client/main,net/minecraft/client/main,net/minecraft/client/main,,
package,,net/minecraft/realms,net/minecraft/realms,net/minecraft/realms,,
package,,net/minecraft/server,net/minecraft/server,net/minecraft/server,,
class,,a,net/minecraft/util/EnumChatFormatting,net/minecraft/util/EnumChatFormatting,,
class,,aa,net/minecraft/command/server/CommandEmote,net/minecraft/command/server/CommandEmote,,
class,,aaa,net/minecraft/item/ItemLeaves,net/minecraft/item/ItemLeaves,,
class,,aab,net/minecraft/item/ItemMap,net/minecraft/item/ItemMap,,
class,,aac,net/minecraft/item/ItemBucketMilk,net/minecraft/item/ItemBucketMilk,,
class,,aad,net/minecraft/item/ItemMinecart,net/minecraft/item/ItemMinecart,,
class,,aad$1,net/minecraft/item/ItemMinecart$1,net/minecraft/item/ItemMinecart$1,,
class,,aae,net/minecraft/item/ItemMultiTexture,net/minecraft/item/ItemMultiTexture,,
class,,aae$1,net/minecraft/item/ItemMultiTexture$1,net/minecraft/item/ItemMultiTexture$1,,
class,,aaf,net/minecraft/item/ItemNameTag,net/minecraft/item/ItemNameTag,,
class,,aag,net/minecraft/item/ItemPickaxe,net/minecraft/item/ItemPickaxe,,
class,,aah,net/minecraft/item/ItemPiston,net/minecraft/item/ItemPiston,,
class,,aai,net/minecraft/item/ItemPotion,net/minecraft/item/ItemPotion,,
class,,aaj,net/minecraft/item/EnumRarity,net/minecraft/item/EnumRarity,,
class,,aak,net/minecraft/item/ItemRecord,net/minecraft/item/ItemRecord,,
class,,aal,net/minecraft/item/ItemRedstone,net/minecraft/item/ItemRedstone,,
class,,aam,net/minecraft/item/ItemSaddle,net/minecraft/item/ItemSaddle,,
class,,aan,net/minecraft/item/ItemSeedFood,net/minecraft/item/ItemSeedFood,,
class,,aao,net/minecraft/item/ItemSeeds,net/minecraft/item/ItemSeeds,,
class,,aap,net/minecraft/item/ItemShears,net/minecraft/item/ItemShears,,
class,,aaq,net/minecraft/item/ItemSpade,net/minecraft/item/ItemSpade,,
class,,aar,net/minecraft/item/ItemSign,net/minecraft/item/ItemSign,,
class,,aas,net/minecraft/item/ItemSimpleFoiled,net/minecraft/item/ItemSimpleFoiled,,
class,,aat,net/minecraft/item/ItemSkull,net/minecraft/item/ItemSkull,,
class,,aau,net/minecraft/item/ItemSlab,net/minecraft/item/ItemSlab,,
class,,aav,net/minecraft/item/ItemSnow,net/minecraft/item/ItemSnow,,
class,,aaw,net/minecraft/item/ItemSnowball,net/minecraft/item/ItemSnowball,,
class,,aax,net/minecraft/item/ItemMonsterPlacer,net/minecraft/item/ItemMonsterPlacer,,
